targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
968,969,1160;975;621,,134057;201820;255573;316866;4212540;46271022
969,978,975;1160;621,,134057;201820;255573;316866;4212540;46271022
968,978,975;1160;621,,134057;201820;255573;316866;4212540;46271022
929,970,1160;621,,134057;201820;255573;316866;4212540;46271022
929,979,1160;621,,134057;201820;255573;316866;4212540;46271022
970,979,1160;621,,134057;201820;255573;316866;4212540;46271022
